Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,School Number,School or Citywide Complaint,pctFemale,pctMale,pctPacIslander,pctLatino,pctAmericanIndian,pctAsian,pctWhite,pctBlack,pctOther,pctEthnicTotal,pctPermResidentAlien,pctUSCitizen,pctRecPublicAssistance
Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,10465,BRONX,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Sign - Dangling,Bus Stop,Street,10472,BRONX,Unspecified,,,,,,,,,,,,,,
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10019,NEW YORK,Unspecified,,,,,,,,,,,,,,
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10019,NEW YORK,Unspecified,,,,,,,,,,,,,,
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,11231,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Health and Mental Hygiene,Window Guard,Tenant Refusal,3+ Family Apartment Building,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10014,NEW YORK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11249,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10453,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10451,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369,EAST ELMHURST,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369,EAST ELMHURST,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11101,LONG ISLAND CITY,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11102,ASTORIA,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11101,LONG ISLAND CITY,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11106,ASTORIA,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10032,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,NEW YORK,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11229,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10024,NEW YORK,Unspecified,,Q3_pctFemale,,,,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10023,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10024,NEW YORK,Unspecified,,Q3_pctFemale,,,,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - House of Worship,Loud Music/Party,House of Worship,11206,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11419,SOUTH RICHMOND HILL,Unspecified,,,Q3_pctMale,,,,,,Q3_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10036,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10018,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10022,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10003,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10011,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q2_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10014,NEW YORK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,NEW YORK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,NEW YORK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,NEW YORK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,NEW YORK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,NEW YORK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Consumer Affairs,Consumer Complaint,Unlicensed,,10016,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10040,NEW YORK,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10040,NEW YORK,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11206,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
BCC - Staten Island,Dirty Conditions,E2 Receptacle Violation,Sidewalk,10305,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10027,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
P - Queens,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11434,Jamaica,Unspecified,,,,,,,,,Q3_pctBlack,,Q3_pctEthnicTotal,,,
P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10457,BRONX,Unspecified,,,,,,,,,,,,,,
A - Queens,Dirty Conditions,E1 Improper Disposal,Sidewalk,11375,Forest Hills,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
A - Queens,Dirty Conditions,E11 Litter Surveillance,Sidewalk,11369,East Elmhurst,Unspecified,,,,,,,,,,,,,,
A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11378,Maspeth,Unspecified,,,,,,,,,,,,,,
A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11369,East Elmhurst,Unspecified,,,,,,,,,,,,,,
A - Queens,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11433,Jamaica,Unspecified,,,,,,,,,,,,,,
A - Queens,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11374,Rego Park,Unspecified,,,Q3_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
A - Queens,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11433,Jamaica,Unspecified,,,,,,,,,,,,,,
A - Manhattan,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Sidewalk,10014,NEW YORK,Unspecified,,,,,,,,,,,,,,
A - Manhattan,Dirty Conditions,E1 Improper Disposal,Sidewalk,10002,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q3_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
A - Manhattan,Dirty Conditions,E1 Improper Disposal,Sidewalk,10025,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
A - Manhattan,Dirty Conditions,E1 Improper Disposal,Sidewalk,10031,NEW YORK,Unspecified,,,,,,,,,,,,,,
A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10028,NEW YORK,Unspecified,,,,,,,,,,,,,,
A - Manhattan,Dirty Conditions,E5 Loose Rubbish,Sidewalk,10012,NEW YORK,Unspecified,,,,,,,,,,,,,,
A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,11369,East Elmhurst,Unspecified,,,,,,,,,,,,,,
A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,11370,East Elmhurst,Unspecified,,,,,,,,,,,,,,
A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,11413,Springfield Gardens,Unspecified,,,,,,,,,,,,,,
A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,11229,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,11358,Flushing,Unspecified,,,,,,,,,,,,,,
A - Brooklyn,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Sidewalk,11220,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,Q1_pctAsian,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
A - Brooklyn,Other Enforcement,E2A Storage Of Receptacles,Sidewalk,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11238,BROOKLYN,Unspecified,,,,,,,,,,,,,,
A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11216,BROOKLYN,Unspecified,,,,,,,,,,,,,,
A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11205,BROOKLYN,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11235,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11229,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11228,BROOKLYN,Unspecified,,,,,,,,,,,,,,
A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11235,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11223,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11229,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
A - Brooklyn,Dirty Conditions,E5 Loose Rubbish,Sidewalk,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10466,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,Q1_pctPacIslander,Q1_pctLatino,,,,Q3_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Queens West 03,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11370,East Elmhurst,Unspecified,,,,,,,,,,,,,,
Queens West 03,Sanitation Condition,12 Dead Animals,Sidewalk,11369,East Elmhurst,Unspecified,,,,,,,,,,,,,,
Queens West 03,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,,,Unspecified,,,,,,,,,,,,,,
Queens West 03,Sweeping/Missed-Inadequate,3 Sweeping/Missed-Inadequate,Sidewalk,11372,Jackson Heights,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q3_pctLatino,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Queens East 12,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11433,Jamaica,Unspecified,,,,,,,,,,,,,,
Queens East 12,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11434,Jamaica,Unspecified,,,,,,,,,Q3_pctBlack,,Q3_pctEthnicTotal,,,
Queens East 12,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,,,Unspecified,,,,,,,,,,,,,,
Queens East 12,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,,,Unspecified,,,,,,,,,,,,,,
Queens East 12,Sanitation Condition,12 Dead Animals,Sidewalk,11434,Jamaica,Unspecified,,,,,,,,,Q3_pctBlack,,Q3_pctEthnicTotal,,,
Queens East 12,Sanitation Condition,12 Dead Animals,Sidewalk,11412,Saint Albans,Unspecified,,,,,,,,,,,,,,
Queens East 12,Other Enforcement,E10 Obstruction (Street/Sidewalk),Sidewalk,11432,Jamaica,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Bronx 11,Other Enforcement,E10 Obstruction (Street/Sidewalk),Sidewalk,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Bronx 10,Sanitation Condition,12 Dead Animals,Sidewalk,,,Unspecified,,,,,,,,,,,,,,
Bronx 10,Sweeping/Missed-Inadequate,3 Sweeping/Missed-Inadequate,Sidewalk,10461,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,Q1_pctPacIslander,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Manhattan 04,Sweeping/Missed-Inadequate,3 Sweeping/Missed-Inadequate,Sidewalk,10011,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q2_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Manhattan 04,Sweeping/Missed-Inadequate,3 Sweeping/Missed-Inadequate,Sidewalk,10019,NEW YORK,Unspecified,,,,,,,,,,,,,,
Manhattan 04,Dirty Conditions,E2 Receptacle Violation,Sidewalk,10011,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q2_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
A - Staten Island,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10305,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
A - Staten Island,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10304,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
A - Staten Island,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10305,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
